"","GSM1539439","GSM1539440","GSM1539441","GSM1539442","GSM1539443","GSM1539444","GSM1539445","GSM1539446","GSM1539447","GSM1539448","GSM1539449","GSM1539450","GSM1539451","GSM1539452","GSM1539453","GSM1539454","GSM1539455","GSM1539456","GSM1539457","GSM1539458","GSM1539459","GSM1539460","GSM1539461","GSM1539462","GSM1539463","GSM1539464","GSM1539465","GSM1539466","GSM1539467","GSM1539468","GSM1539469","GSM1539470","GSM1539471","GSM1539472","GSM1539473","GSM1539474","GSM1539475","GSM1539476","GSM1539477","GSM1539478","GSM1539479","GSM1539480","GSM1539481","GSM1539482","GSM1539483","GSM1539484","GSM1539485","GSM1539486","GSM1539487","GSM1539488","GSM1539489","GSM1539490","GSM1539491","GSM1539492","GSM1539493","GSM1539494","GSM1539495","GSM1539496","GSM1539497","GSM1539498","GSM1539499","GSM1539500","GSM1539501","GSM1539502","GSM1539503","GSM1539504","GSM1539505","GSM1539506","GSM1539507","GSM1539508","GSM1539509","GSM1539510","GSM1539552","GSM1539553","GSM1539555","GSM1539569","GSM1539573","GSM1539578","GSM1539580","GSM1539585","GSM1539588","GSM1539595","GSM1539596","GSM1539597","GSM1539600","GSM1539601","GSM1539603","GSM1539605","GSM1539607","GSM1539615","GSM1539617","GSM1539621","GSM1539649","GSM1539651","GSM1539652","GSM1539653","GSM1539655","GSM1539664","GSM1539668","GSM1539670","GSM1539671","GSM1539677","GSM1539685","GSM1539686","GSM1539694","GSM1539696","GSM1539699","GSM1539702","GSM1539704","GSM1539706","GSM1539707","GSM1539709","GSM1539710","GSM1539711","GSM1539712","GSM1539714","GSM1539715","GSM1539716","GSM1539731","GSM1539738","GSM1539740","GSM1539745","GSM1539754","GSM1539757","GSM1539758","GSM1539759","GSM1539762","GSM1539764","GSM1539770","GSM1539775","GSM1539779","GSM1539781","GSM1539795","GSM1539796"
"2597",10.04467072,9.878990946,9.857951056,9.63901469,9.639522482,10.16651318,9.838456777,9.642399755,10.03206946,9.767180295,9.933321102,9.993438846,9.852783922,10.07340368,10.03219861,10.22301217,9.873729635,10.0747963,9.632728642,9.803440886,10.05293419,9.778213596,9.79200153,9.838954816,9.721704328,10.09641029,9.81203724,9.760458206,9.617874989,9.910410748,9.732830657,9.711311056,9.518571764,9.97883399,9.77062823,9.821104513,9.931037759,9.919823668,9.532054584,10.31913996,10.15199809,9.952564499,9.740702714,9.370228235,9.963009875,10.4657061,9.840594226,9.808770585,9.756146502,10.12829975,10.10266867,9.782118552,10.04891495,9.719649934,10.58689318,10.13339032,9.930118737,9.916128596,10.36541381,10.31516874,10.31231747,9.880299303,10.03014262,9.28999211,9.875735458,10.09108787,9.764913685,10.11249266,9.56973438,9.841006988,10.16629803,10.11947479,9.827259888,10.5032874,9.719701881,10.26212564,10.27711085,9.715102345,10.11233636,9.892140029,9.929154904,9.633203014,9.608777565,9.758778198,9.867419621,9.961211732,10.3113658,10.42226621,10.07745511,10.54072004,9.817910881,9.933993262,9.776767318,9.980674826,10.0575933,10.05217632,9.93462032,9.855315888,10.04984703,9.816493451,9.744210763,9.739032087,10.24693444,10.41217576,9.989128763,9.8874678,9.95485485,10.0866855,9.613966774,10.04531753,10.14815349,9.899674197,9.780474663,10.20082727,9.442374686,10.08041782,9.69532978,9.8119257,10.47254186,10.13169997,9.844112533,10.10672311,10.18171769,9.646958156,9.679442942,9.925850431,9.673264552,9.725644816,10.05808955,9.957429671,9.907169724,10.18116747,10.03098701,9.633395248
"1499",6.053843706,6.055960626,6.092496136,6.098940731,6.044075095,6.043590948,6.065014851,6.054355444,6.138614268,5.986572772,6.042759578,6.046906054,6.092871085,6.08158547,6.082995371,6.106133518,6.038382237,5.997716701,6.05700251,6.005438115,6.041962239,6.018979399,5.993850405,6.056202532,6.025232503,6.031289734,6.145339913,6.072661074,6.052652248,6.128562778,5.975813436,6.069745079,6.04722438,6.023883145,6.02624022,6.033343304,6.05393584,6.022253519,6.027309576,6.068969308,5.977277767,6.287136361,6.090571076,6.084218522,6.043174542,6.025399393,6.074948805,6.062721489,6.051872493,6.147029463,6.05558572,6.023979367,6.143673242,6.098354412,6.104266997,5.99739091,6.049488703,6.0806972,6.017782873,6.021421531,6.040841482,6.025180485,6.036170859,6.077340986,6.060826182,6.06593518,6.031225343,6.049084096,6.038729019,6.064793566,6.083739367,6.046570797,6.144199173,6.080825332,6.218965877,6.048535747,6.02305332,6.053704731,6.065955621,6.050132842,6.114633284,6.139488614,6.055536371,6.051674627,6.06047109,6.045818159,6.066943141,6.107294047,6.024624581,6.059684705,6.059418254,6.13067077,6.026143681,6.024825232,6.023421417,6.074654685,6.034377945,6.034795862,6.056596229,6.176845936,6.009996115,6.128233482,6.045412419,6.042890821,6.002898519,6.073532485,6.059310081,6.059502924,6.036822041,6.076373585,6.087657152,6.166989815,6.010541075,5.966616183,6.104504071,6.17076554,6.169180289,6.084990375,6.070030858,6.044966194,6.065259491,6.068215797,6.066886098,6.034396681,6.019056124,6.057891078,6.053813096,5.992496957,6.093410818,6.09219113,6.101857851,6.154396863,6.067007797,6.082875009
"10313",6.045562,6.179603783,6.063345325,6.05235939,6.024502497,6.143888301,6.03184224,6.041584925,6.003737525,6.013973367,6.047903011,6.119172675,6.041104138,6.022444721,5.981267599,6.031839579,6.07871196,6.013027643,6.016606977,6.006190695,6.060399444,6.033869227,6.131777094,6.08883967,6.107340076,6.102849809,6.07856131,6.014186951,6.064697911,6.157540703,6.005050229,6.047786811,6.020601426,6.032255784,6.001438711,6.024540647,6.01865035,6.075940001,6.088592498,6.008616822,6.005001845,6.024211698,6.055127577,6.114150097,6.024745379,6.03305438,6.039575994,6.033211897,6.012167807,6.027807945,6.026193133,6.000216805,6.023942839,6.035047445,6.076907474,6.046298571,6.053048936,6.026034708,6.03307377,6.136250479,6.012101696,6.079186228,6.009836646,6.045672666,6.028289618,6.074818344,6.204270349,6.107305984,6.153309941,6.095493281,6.020143877,6.069741765,6.08452653,6.048905657,6.0770869,5.99930536,6.030270399,6.159023844,6.022395942,6.051824985,6.033503902,6.018309141,6.130372959,6.027856129,6.024612846,6.00383245,6.025341605,6.016436258,6.056068789,5.994253442,6.072165516,6.102360948,6.029350718,6.089133182,6.023617581,6.016641217,6.023913488,6.025098724,6.033631419,6.080314027,6.112399314,6.020332644,6.048244576,6.035056826,6.01806257,6.024238402,6.088910133,6.038675626,6.172850758,6.035231541,6.048313911,6.051909099,6.022486284,6.032982153,6.198891932,6.068273087,6.066914567,6.028027905,6.017498451,6.057381644,6.209454226,6.105870339,6.036223744,6.040212922,6.060251143,6.120438171,6.025856881,6.052241177,6.041956577,6.06163774,6.03884871,6.003592275,6.138303316,6.017277407
"351",6.038724948,6.018496159,6.047408155,6.046999212,6.097300838,6.06088144,6.045673001,6.031517656,6.061818299,6.053616313,6.039919625,6.036619495,6.02841819,6.092325707,6.021721376,6.094936938,6.018766431,6.020641063,6.073513841,6.029744873,6.053426631,6.028159192,6.073019563,6.055839049,6.060206096,6.046359397,6.029806818,6.008887334,6.122561811,6.092003704,6.121899027,6.012294965,6.045790269,6.025831506,6.018407087,6.049214849,6.030520184,6.095400226,6.051992231,6.042278885,6.04588906,6.010366435,6.026532943,6.070053301,6.01187565,6.076168386,6.059235781,6.018438622,6.093817888,6.05983637,6.029591422,6.105036845,6.006134047,6.032242132,6.0397835,6.090386782,6.031931795,6.068008726,6.035282893,6.053951352,6.020254159,6.052142965,6.020842058,6.063991595,6.12659849,6.075438767,6.065891322,6.044341604,6.048578878,6.034339259,6.041036826,6.052444899,6.032206235,6.04626741,6.05188511,6.069236551,6.096571277,6.099963748,6.018846911,6.058252964,6.025126494,6.043810407,6.055975121,5.9984118,6.021357557,6.039968609,6.085416788,6.0526499,6.088662808,5.994086135,6.059376238,6.044250568,6.03902274,6.035084014,6.082512148,6.041075068,6.097139745,6.030152406,6.09471275,6.038768003,6.034675578,6.031592894,6.01517819,6.042367324,6.085458076,6.097893154,6.129259783,6.042992935,6.041773131,6.036601892,6.009235053,6.067309072,6.054662893,6.088316841,6.038074361,6.019125863,6.048972848,6.038414134,6.058757874,6.044167618,6.066344578,6.033382135,6.022303402,6.029010909,6.121808437,6.05441442,6.038601954,6.03657488,6.030064438,6.035305838,6.029648222,6.051579872,6.06103235,6.026508157
"1855",6.002446431,6.021297196,6.018557113,6.013263232,6.084287525,6.043536365,6.125503284,6.032490913,5.999804466,6.039736833,6.043911414,6.052993436,6.029726364,6.082499882,6.005842964,6.063208233,6.047994682,6.048851197,5.992516774,6.036148824,6.055395943,6.041221581,6.022308554,6.068411085,6.017083921,6.007748393,6.050420636,6.01917054,6.011907182,6.050973312,6.052238717,6.041404796,6.029612821,6.005533939,6.029459507,6.003602942,6.024417435,6.026855107,6.031244467,6.022433573,6.023574269,6.057339568,6.00746115,6.080835726,6.013447931,6.02723519,6.034429435,6.045280272,6.020216723,6.029034894,6.031295326,6.016760836,6.134503934,6.024467423,6.045719473,6.025141036,6.021941331,6.021177383,6.000044436,6.023058666,6.041869145,6.029927174,6.002201794,6.038822402,6.05240851,6.012178805,6.062243235,6.019696687,6.012506241,6.091167134,6.005947579,6.007382439,6.002337804,6.022675264,6.010042924,6.041985894,6.014232478,6.033381288,6.090690472,6.03804764,6.001867883,6.025034782,6.069569306,6.052515265,6.012069934,6.013763393,6.049192077,6.063785674,6.028404552,6.01479819,6.009804499,6.008873109,6.01872396,6.027725397,5.991245736,6.007660683,6.023049424,6.006386699,6.011304977,6.027086686,6.026380663,6.041980206,6.04249605,6.013690416,6.024014144,6.06582387,6.011267441,6.034938883,6.064591561,6.024192277,6.001253498,6.043726451,6.004461995,6.040938536,6.020483548,5.99786725,6.006472222,6.020447598,6.03787993,5.996077032,6.012984375,6.071252183,6.023002678,6.023386474,6.021761129,6.009159072,6.021047422,6.025401389,6.018358196,6.020112138,6.018182248,6.024982555,6.022012566,6.020186675
"51107",8.282258853,7.914692979,8.188095304,8.097396426,8.037658162,8.25799103,8.208009419,7.996379917,8.119017515,7.933481705,7.864417718,8.397912673,8.180291235,8.034385097,8.169011843,8.20040925,7.905426365,8.166195337,8.346983977,7.997665592,8.231906793,7.874812722,7.95789397,8.010007617,8.185931057,8.13167652,8.126046589,8.253480967,8.196334452,8.030341184,7.957786479,8.004606327,7.741537439,7.913668062,7.961114998,8.093817344,8.375684646,8.159748846,8.065352922,8.161994637,8.17718944,8.315010967,8.058597028,8.105255861,8.149723111,8.137071992,8.017808658,8.194300263,8.07276572,8.107883189,8.178231487,8.147543134,8.343382632,8.225698256,8.151977917,8.09464399,7.944028675,8.108737648,8.278814081,8.375177335,7.955773511,8.263857409,8.004508522,7.791507391,8.166617255,8.282614439,8.027709597,8.075928977,8.089564234,7.97909516,8.428673907,8.019465834,8.078346866,8.239269059,8.043310863,8.206556039,8.164413959,7.804261937,7.698131846,8.135992268,7.981167493,8.367036386,8.229627391,8.07489732,8.060183129,8.129825994,8.160476225,8.197890659,8.379032901,8.274247827,8.112085872,7.851908594,8.072383544,8.133879962,8.266182229,8.183674127,8.415692601,8.239154557,8.118844366,7.943065604,7.934834769,8.125192319,8.210614644,8.32581473,8.373799297,7.881062049,8.365517115,8.029745302,8.212573344,8.282345054,7.991946555,8.246140323,8.032261556,8.205156827,7.79578652,7.94331764,7.921442408,7.906714421,8.340583126,8.331064826,8.278634701,8.134973302,8.149164308,7.766457901,8.028666861,8.054848978,8.439372172,7.889529393,8.101396261,8.005818082,7.869400376,8.19400264,8.164074538,8.150435418
"3552",6.023497375,6.024715801,6.011724762,6.036693499,6.029314311,6.024000389,6.114969581,6.097393789,6.001400943,6.103978899,6.001805449,6.023191014,5.990568692,6.030625352,6.038809436,6.010114568,6.024507068,6.007322828,6.040562767,6.038092354,6.064394734,6.031190739,6.031587675,6.037522565,6.02376161,6.022917568,6.046445095,6.009053956,6.001288904,6.030746314,6.009626822,6.012488544,6.039094857,6.00713519,6.032319187,5.996410533,6.048214097,6.0041288,6.000684527,6.048587175,6.085018161,6.008789002,6.019468027,6.002716921,5.988561017,6.014976507,6.044590303,6.035486004,6.002410545,6.013190441,6.042159315,6.011577,6.064086274,6.035746803,6.000654075,6.044185993,6.068573727,6.043891376,6.014075124,6.02530552,6.035994735,6.023577764,6.03824738,6.027618578,6.046553639,6.023179121,6.005682184,6.020700786,5.987500378,6.016395349,6.019049378,6.015380449,6.012818074,6.021548848,6.039477671,6.044213105,6.0550073,6.026770761,6.017384611,6.010715391,6.010317887,6.029941391,6.013151724,6.022072874,6.000881704,6.02542208,6.017382816,6.058228374,6.00725498,6.008477287,6.045921707,6.021398241,6.051683675,6.009473441,6.004395467,6.026105421,6.00817283,6.099288795,6.010238134,6.035013033,6.015642485,6.03028191,6.012335727,6.030751995,6.037597816,6.024852463,5.984895442,6.025867055,6.024985286,6.069420894,6.007393244,6.027628628,5.992239469,6.066836081,6.004235185,6.082704889,5.990424821,6.014078473,6.040992744,6.021666229,5.993305471,5.999813879,6.018320078,6.026456412,6.048401709,6.01417785,6.020005002,6.022124184,5.994568598,6.026702181,6.035350252,5.993167049,6.072549856,5.995201157
"369",7.716461473,7.808787782,8.031372675,8.093897717,8.08770868,8.106723102,7.416182936,7.736569058,7.809261524,8.265727742,7.909450361,7.525400713,8.012397059,7.89868074,8.0415699,8.242413838,8.038721495,7.904735099,7.812338178,7.953849376,7.990207196,8.330994502,7.991958596,7.84258267,8.162266525,8.266342734,7.64934539,7.312523502,7.838502449,8.02406013,7.694462348,8.087991446,7.930075985,7.636761023,7.995249514,8.030125358,7.829525411,8.097171952,7.732300836,8.133897353,8.569588882,8.204669012,7.860581426,7.414347698,8.430576099,8.247071957,7.939499902,7.940786548,7.804963245,8.206461607,8.741549123,7.92926727,8.072987455,8.103849564,8.004865564,7.983893007,8.103445715,8.113491275,8.276149262,7.727122274,8.316689962,7.558884878,7.647314139,7.74154394,8.391197122,7.787377029,7.937992782,8.259359181,7.745811211,7.750900162,7.861808441,8.173680438,7.93618003,8.270896265,7.480987574,7.7501105,8.382805733,7.971443022,8.673729686,7.818432072,7.944682521,7.605593214,7.817228655,8.505499974,7.832393283,8.372638468,7.81968701,8.365383463,7.974881651,8.344227432,8.057322198,7.999132126,8.065672889,7.913595637,7.969630601,8.197566303,7.972505712,8.092161133,8.148995892,7.75378689,7.836202459,7.603642288,8.25180691,7.802025948,8.013908054,8.56727872,7.920456652,8.173501717,7.769779691,8.42524286,8.047087839,8.261677121,7.843942458,7.526260223,7.797435115,8.355644113,8.1775,7.816588319,7.85965701,8.157207421,7.442497919,8.026188304,7.919245745,7.691407547,8.03418383,7.903286867,7.830123788,7.662977778,7.865902501,7.853575564,7.418349456,7.902784727,7.941082359,7.89226222
"317",7.871579405,8.271681925,7.870408159,7.719082101,7.918019983,7.342159556,7.95513361,8.340227175,7.597086552,7.780959141,7.794065006,7.57406775,7.502092547,7.780897084,7.82894288,7.565352594,8.144231976,7.796605684,7.780235536,7.81301883,7.759966953,7.815696897,7.695305167,8.473342972,7.97059193,7.651075511,7.48876057,7.659969083,7.764708649,8.346109368,7.423789002,8.161577235,7.60295374,7.832574889,7.540015163,8.414588205,8.03692595,8.079743074,7.924029543,7.934964973,7.83547365,7.360537754,7.610309925,7.68910084,7.546266566,7.887590568,7.95416033,7.509048724,7.786979246,7.96986211,7.358212656,7.612499806,7.607635977,7.861520236,8.237732581,7.397680712,7.687323613,7.516235568,7.425568338,7.829619691,7.812330557,7.913817091,7.92772413,7.45579107,7.82867323,7.951476141,7.662748277,7.475385027,7.733314264,7.602384647,7.782754575,8.102380198,8.125126262,8.271448106,8.099388003,7.39944388,7.981697209,8.309445879,7.71690487,7.608513685,7.963480602,7.516114238,8.092611716,7.367090359,8.049278959,7.75063088,7.770671851,7.474743743,7.907986198,7.918136395,7.74957608,8.388021691,7.932507309,7.75632653,7.855343004,7.754523195,8.051610582,7.876748313,7.646734995,7.639188616,8.00568222,8.144390563,7.966568244,8.092776399,7.630368209,7.814541563,8.411167535,8.027083723,7.345145689,7.625736173,8.06296492,7.755609303,7.873056716,7.665336016,8.108193585,7.663650815,8.20397594,7.94579164,8.094276587,7.76685346,7.866958678,8.257215732,7.900093829,7.988057361,8.14149617,8.376404668,7.660676123,7.796187807,7.869150908,7.966590321,7.683084216,8.07295696,7.649555604,7.884548232
"2776",6.740238694,7.204598686,6.610986062,6.702607816,6.707794441,6.791687593,6.745731505,6.686582494,6.238872978,6.482336531,6.848230397,6.454827439,6.573315403,6.58209009,6.691574356,6.777419752,7.050555736,6.654679277,6.590310493,6.617186841,6.927142733,6.817053584,6.811195796,6.968756543,7.097456925,6.535225533,6.793371605,6.599422145,6.34044453,6.399183285,6.321495802,6.915979314,6.464835197,6.75414058,6.415914762,6.664927256,6.626279581,6.831712802,6.763828584,6.897815526,6.692296027,6.225088136,6.714349757,6.70363648,6.936981948,6.84174832,6.663198567,6.679160244,6.781966905,6.748735534,6.203031609,6.623071697,6.542576534,6.798749872,7.200027086,6.757578029,6.686517554,6.667077954,6.736092779,6.79605471,6.285976303,6.911498467,6.966734803,6.419550709,6.506723289,6.817531645,6.66540238,6.707878313,6.93597466,6.491324123,6.53863569,6.792113525,6.89495817,6.685016309,6.482747354,6.520927962,6.765337028,6.948753593,6.507318739,6.398921581,6.70480751,6.619829337,6.705614714,6.346682356,6.584592507,6.51869944,6.835424578,6.453383644,6.591371665,6.86479983,6.478356828,6.784577542,6.822174323,6.723480167,6.631835744,6.889557309,6.788232247,6.699241872,6.60898318,6.85282792,6.695770623,6.472228704,6.676734723,6.744943049,6.497804406,6.315567119,6.994298595,6.500865202,6.40090084,6.384324271,6.785263008,6.947781407,6.718044014,6.216319152,6.850082386,6.689504121,6.714044435,6.499527044,6.630770209,6.490433799,6.826953151,6.723386415,6.767450069,6.809451733,6.752130581,7.072516612,6.960013321,6.567250004,6.813570499,6.561159896,6.888536054,7.101957839,6.745511999,6.648952258
