"","GSM1539511","GSM1539512","GSM1539513","GSM1539514","GSM1539515","GSM1539516","GSM1539517","GSM1539518","GSM1539519","GSM1539520","GSM1539521","GSM1539522","GSM1539523","GSM1539524","GSM1539525","GSM1539526","GSM1539527","GSM1539528","GSM1539529","GSM1539530","GSM1539531","GSM1539532","GSM1539533","GSM1539534","GSM1539535","GSM1539536","GSM1539537","GSM1539538","GSM1539539","GSM1539540","GSM1539541","GSM1539542","GSM1539543","GSM1539544","GSM1539545","GSM1539546","GSM1539547","GSM1539548","GSM1539549","GSM1539550","GSM1539554","GSM1539560","GSM1539562","GSM1539563","GSM1539570","GSM1539571","GSM1539575","GSM1539576","GSM1539577","GSM1539579","GSM1539581","GSM1539582","GSM1539583","GSM1539586","GSM1539587","GSM1539589","GSM1539593","GSM1539599","GSM1539604","GSM1539606","GSM1539613","GSM1539616","GSM1539619","GSM1539623","GSM1539624","GSM1539626","GSM1539627","GSM1539629","GSM1539630","GSM1539632","GSM1539634","GSM1539637","GSM1539641","GSM1539643","GSM1539644","GSM1539646","GSM1539647","GSM1539648","GSM1539650","GSM1539656","GSM1539661","GSM1539662","GSM1539663","GSM1539665","GSM1539666","GSM1539673","GSM1539674","GSM1539675","GSM1539676","GSM1539678","GSM1539687","GSM1539689","GSM1539691","GSM1539692","GSM1539693","GSM1539697","GSM1539698","GSM1539701","GSM1539703","GSM1539705","GSM1539713","GSM1539717","GSM1539718","GSM1539719","GSM1539720","GSM1539721","GSM1539722","GSM1539723","GSM1539727","GSM1539728","GSM1539729","GSM1539732","GSM1539733","GSM1539736","GSM1539737","GSM1539739","GSM1539742","GSM1539743","GSM1539746","GSM1539747","GSM1539748","GSM1539749","GSM1539751","GSM1539752","GSM1539763","GSM1539765","GSM1539766","GSM1539767","GSM1539768","GSM1539769","GSM1539773","GSM1539777","GSM1539778","GSM1539780","GSM1539783","GSM1539785","GSM1539787","GSM1539788","GSM1539794"
"2597",9.945679547,9.6224655,9.788589409,9.846614429,9.917030924,9.75719279,9.771028644,10.25346279,10.45242023,9.914304778,10.33521985,10.03281421,10.16160328,9.811377581,10.32955061,10.09885341,9.900697868,9.981971937,10.37632646,10.02846531,10.23931238,9.520087162,10.29923274,9.937696807,9.894218512,10.20168105,10.09993189,9.570577618,10.30949518,10.29860841,9.742262547,9.809280283,10.05205555,9.48428469,10.05477905,10.33221761,9.832793165,9.952047441,10.1922405,9.672818048,9.994107474,10.18775186,10.09837397,10.29190333,9.732932515,9.79708411,9.654618528,10.44061667,9.866313639,10.21249024,9.828867684,10.08638414,9.875580964,10.25559513,10.18236636,9.791189737,10.15329631,9.975304735,9.77158365,9.642931652,9.773660972,9.87664734,9.92679543,10.38476908,10.12834147,9.967060537,10.37131994,9.374388482,9.939951017,9.365004112,10.06439246,9.731812314,9.549124098,10.36225301,9.797538895,10.39140144,10.21382267,10.2338563,9.751677828,10.20966049,10.11176219,9.792044379,9.843368336,10.19299047,10.10537261,9.975075096,10.19224483,10.32684525,10.23940597,9.714289933,10.24978108,10.32391623,10.10514443,10.28885049,9.853819927,10.09954074,10.07399382,10.35646376,10.36689869,9.899468908,9.801938394,9.976993369,10.03069955,10.35486327,10.24363252,10.17388598,10.09273382,10.15193889,10.11067172,9.837063665,10.15710062,10.03701539,10.15176566,9.961973851,9.831869429,10.16891757,9.746925486,9.900240946,10.02567187,10.02599005,10.27816346,9.924971004,9.800563047,10.21600836,10.12849022,10.1737166,9.684182942,10.06977439,10.02731361,9.948901077,10.37724527,10.21338531,9.604197091,10.3110781,9.850943178,10.15228394,9.94496312,9.536020324,9.758629737
"1499",6.061912312,6.036498223,6.032873325,6.067390975,6.025324349,6.168417338,6.133318195,5.990485619,6.005154567,5.983857459,6.055853322,5.997372012,6.029838173,6.034957555,6.031808829,6.042332679,6.017990598,6.071456789,6.043428187,6.025961759,6.053945802,6.07442695,6.078072327,6.080460094,6.035387194,5.982455574,6.061487972,6.013788395,6.092090553,6.025071595,6.17485504,6.143276964,6.057664255,6.129461198,6.031825097,6.025082556,6.123848999,6.130258919,6.059010244,6.072887036,6.084926648,6.058383479,5.999015303,6.0130258,6.030089645,6.112332105,6.110645252,6.02052703,6.034634471,6.026620086,6.032188827,6.051929633,6.032290576,6.073245278,6.001931837,6.017558733,6.031895883,6.048151284,6.068266598,6.059261111,6.04164758,6.03637705,6.064803767,6.063126177,6.061180053,6.174740334,6.010009309,6.107051401,6.078716081,6.035705543,6.097343094,6.036819005,6.110680029,6.049808807,6.084076332,6.051604668,6.277545526,6.013977957,6.063590837,6.05552624,6.044204024,6.040302144,6.031799662,6.093809533,6.109694645,6.091733968,6.013100097,6.057749442,6.058362341,6.0558162,6.055024251,6.08568892,6.115829073,6.127870052,6.073358309,6.016698853,6.104464879,6.02610616,6.08589005,6.116844578,6.114231473,6.006968151,6.086256682,6.055324395,6.096354446,6.083518489,6.174720611,6.005838055,6.068774819,6.149798395,6.121228284,6.142047687,6.077866796,6.004299968,6.038266933,6.08847429,6.026833354,6.018268628,6.054746986,6.034670592,6.044761554,6.03304129,6.022351378,6.071564756,6.123909954,6.015133826,6.032028755,6.065914749,6.090182432,6.066653084,6.071088665,6.041413113,6.085269851,6.007493675,6.069830338,6.036245667,6.170838813,6.053385675,5.997629687
"10313",6.082624431,6.015202311,6.057831055,6.009379198,6.018551069,6.03306807,6.072236314,6.047351034,6.081116212,6.042278538,6.02869923,6.085187371,6.048314165,6.128632569,6.079810992,6.022411847,6.017494063,6.027220852,6.041365765,6.113400726,6.032418841,6.031805792,6.012192507,6.054031691,6.13065314,6.037607133,6.055908315,6.060619119,6.026512229,6.0531466,6.08348543,6.098522235,6.058018498,6.079055476,6.04295219,6.070525821,6.043584131,6.049868049,6.035295105,6.034562897,6.068862214,6.027202024,5.978640482,6.083144813,6.083308942,6.068034523,6.068048618,6.004542587,6.078671777,6.04045144,6.07187104,6.045971081,6.120363498,6.0483074,6.048686966,6.053880402,6.033265286,6.000895988,6.030215272,6.054018654,6.028294706,6.063849777,6.050270854,6.032780115,6.040335211,6.018108749,6.059509238,6.042121026,6.018867674,6.014991449,6.039970068,6.072615793,6.064184514,6.034336515,6.062296819,6.105777859,6.048144468,6.02536159,6.085972234,6.118540271,6.03790987,6.028788319,6.056917641,6.043026591,6.032620344,6.117034499,6.012801375,6.02091418,6.017296009,6.019121361,6.012264159,6.055801629,6.042637163,6.119079403,6.015855517,6.052946085,6.048928755,6.023238511,6.062718164,6.024482338,6.084316123,6.025564738,6.03330549,6.062611988,6.033264659,6.116899346,5.998667683,6.034421286,6.041504276,6.00185726,6.051561097,6.020036233,6.030854282,6.044005248,6.026935841,6.062718939,6.060104144,6.032108099,6.037059938,6.045608498,6.134385532,6.046825991,6.031949686,6.033639675,6.006570988,6.026224883,6.084688886,6.042796109,6.041229218,6.020010445,6.015854569,6.090960519,6.147663633,6.035170686,6.018734064,6.081767475,6.031554114,6.069757927,6.120686863
"351",6.08005359,6.048855522,6.071926175,6.007556923,6.059186784,6.055043656,6.077378786,6.073602346,6.040317782,6.052680624,6.052813908,6.035324874,6.014158269,6.045643404,6.067412142,6.028245908,6.007226639,6.035539619,6.062132571,6.034568766,6.031487645,6.032061872,6.091338597,6.046690296,6.073547626,6.116776092,6.046674349,6.027606143,6.031272217,6.039818016,6.032813689,6.056390268,6.065432719,6.081453897,6.079466148,6.01885915,6.047927788,6.041477169,6.06272456,6.102998323,6.051922786,6.048353266,6.041109262,6.044715003,6.100087038,6.032131783,6.075551331,6.07407755,6.045742672,6.055168493,6.048858816,6.052560619,6.069159126,6.025914259,6.070288607,6.020051256,6.124665841,6.039183405,5.997745189,6.03592916,6.062745994,6.00610993,6.094460597,6.070141793,6.043219112,6.028247789,6.007811942,6.062630402,6.066059156,6.035319112,6.078722092,6.020799014,5.998634894,6.035096618,6.058506843,6.059075463,6.031553189,6.024100251,6.045437507,6.084614234,6.033175904,6.037860777,6.033139417,6.068685174,6.019498009,5.995106318,6.038805674,6.061652647,6.073673994,6.016585215,6.024835165,6.043117872,6.067249071,6.024417521,6.052406556,6.01666617,6.045686577,6.057957497,6.036041954,6.099798638,6.054375102,6.023907844,6.046259746,6.059318783,6.023208428,6.018787364,6.04468635,6.103045273,6.0248855,6.030514397,6.021368695,6.048809742,6.076155601,6.155142257,6.024242716,6.027042502,6.016045361,6.04065385,6.068503789,6.131825789,6.03667417,6.077228588,6.020140338,6.023442416,6.070468021,6.110132448,6.014014227,6.05562395,6.055531637,6.019166217,6.115127785,6.023331851,6.063064275,6.061438187,6.025385223,6.03478049,6.035414541,6.0677986,6.022810763
"1855",6.036672209,6.004147188,6.00647968,6.016109762,6.043785475,6.032521181,6.085996021,6.006178734,6.06673254,6.059031898,6.014409364,6.055253466,6.00783566,6.030804742,6.082648318,6.038716517,6.041536419,6.040940647,5.994567886,6.048043768,6.011569617,5.985745695,6.022466217,6.054035546,6.022423665,5.999501463,6.012186354,5.996415576,6.007080083,6.033749427,6.04938822,6.030174647,6.014373147,6.028977849,6.000469545,6.037753774,6.046501807,6.000128439,5.991271706,6.012504077,6.049536386,6.050241471,6.040457513,6.008771826,6.021531224,6.089687714,6.030761391,6.040051562,6.024052432,6.033355088,6.003068781,5.996385785,6.008351676,6.008894124,6.001150562,6.020162791,5.999586317,6.028729885,5.996464635,6.038224628,6.013777291,6.004488422,6.077666095,6.003475337,6.020383591,6.01265233,6.05012138,5.997804482,6.02218242,6.023207074,6.038017742,6.020845904,6.019169349,6.022863983,6.007632159,6.04076846,6.085959054,6.009828549,6.086004739,6.042927739,6.024963937,6.016241173,6.017797975,6.016103409,6.049325089,6.003496389,5.983720822,6.004598823,6.038942373,6.041151018,6.008181805,6.012038693,5.994926621,6.028387875,6.036499547,6.058566496,6.019949034,6.023808886,6.008580065,6.030601944,6.000283122,6.003215466,6.03055271,6.05118382,6.089169299,6.014997685,6.01702744,6.038617646,5.990523842,6.028987159,6.058882192,6.001267613,6.006359719,6.01840294,6.044389742,6.020230063,6.0195618,6.048970893,6.092403478,6.014415884,6.005792226,6.083043143,5.995617214,6.056592527,6.007233732,6.015667441,6.022950682,6.02082993,6.03604519,6.087208018,6.030569089,5.992259548,5.989176572,6.031649048,6.018000411,6.043976792,6.037285996,6.018627789,6.098897156
"51107",7.96643098,7.976607553,8.147387735,8.218794146,8.203609294,8.027630269,8.15250069,8.088266485,8.203150851,8.296751108,8.33890852,8.098057087,8.275812669,8.212264357,8.163137183,7.869875916,7.875110449,8.05746958,8.128687927,7.974493409,7.967254272,7.990107852,8.147886131,8.330885268,8.073581129,8.07571586,7.997507098,8.168254565,8.102570784,8.120099655,7.96269775,8.061142204,8.122537345,7.915601148,8.225051413,8.120183928,8.295856844,8.152495521,8.190956315,8.152568535,8.076416274,8.287302306,8.211845401,8.165593709,8.128274679,8.29266177,8.020889349,8.094583625,8.132925358,8.285621861,8.09648271,8.134309276,8.034852925,8.174859812,8.097768407,7.983304584,8.174403932,8.000359533,8.258410824,7.998185161,7.967744818,8.059620567,8.401303588,8.093395586,8.197493603,8.095781171,8.151724512,7.846876372,7.950685159,7.743201963,8.194600312,8.016557837,7.988391358,8.304279244,7.946408974,8.012229794,8.000596798,8.072510456,8.158579537,8.192061219,8.154894923,7.760277855,8.119610362,8.218000618,7.922180501,8.171572355,8.48007011,8.104741807,7.987854805,8.168510261,8.134755207,8.356626595,8.263140911,8.099557031,8.228358945,7.923913979,7.964322506,8.283874017,8.232426812,8.175168792,8.076745912,8.310554018,8.225325819,8.24376949,8.120381549,8.180091568,7.941673543,8.106902334,8.197700238,8.000884909,8.289296892,7.844926395,8.11730185,8.078246198,8.016941719,8.181233961,7.954503159,7.998902063,8.239591855,8.306741476,7.911122645,8.025429763,7.979895785,8.007618285,8.244100242,8.140393087,8.129808784,8.178203087,8.301244447,7.952627012,8.255544895,8.055107714,8.328515472,7.881379719,8.060510487,8.234165363,8.227507796,8.101597664,8.216260678
"3552",6.040379325,5.99278388,6.012050922,6.023199147,6.024505911,6.007565648,6.047427805,6.021570078,6.008895072,6.036208767,6.019039671,6.000557372,6.011366849,6.01825956,6.026957242,6.021840091,6.002712154,6.050079132,5.988448347,6.009311901,6.01366513,6.012960402,6.027890448,6.046700128,6.039714362,6.035746532,6.055113712,6.015057794,6.020531435,6.015966696,6.060473981,6.026377047,6.044975233,6.001172009,6.031191009,6.040161148,6.01696128,6.003530121,5.998983025,6.020397455,6.031343879,6.016095389,6.026666991,6.023339759,6.022877934,6.080438798,6.000900656,6.007904624,5.990160357,6.05053001,6.008629966,6.000242713,6.017381261,6.03644121,6.063306414,6.000307675,6.014614624,6.056435088,5.997907514,6.066226223,6.003185249,6.04253391,6.032470796,6.03982912,6.034988424,6.02980237,6.008828943,6.025116879,6.007180656,6.019971685,6.023892469,6.068480174,6.046145724,6.061706225,6.055049432,6.028223161,6.009561829,6.023735434,6.083827538,6.00863711,6.023448215,6.01272102,6.017278689,6.021989576,6.034835034,6.0387874,6.027349362,6.013535057,6.052795551,6.009533754,6.023174873,6.036970081,6.031785759,6.017219422,6.086809137,6.002993321,6.036814104,6.029420999,6.030848096,6.027530134,6.012491929,6.066292598,6.030943601,6.003996028,6.041392238,6.003706386,6.069693657,6.019777975,6.02029548,6.050923382,6.018648733,6.022075974,6.047513212,6.008380118,5.99597263,6.070686912,6.019025265,6.025055046,6.06849402,6.004571497,5.999323401,6.044729224,6.010914247,6.025547884,6.023256173,6.022478557,6.017597137,6.010297655,6.076853852,6.003500373,6.029843297,6.000200092,6.044094095,6.038491141,6.038188934,6.024120731,6.028379527,6.009928838,6.02224487
"369",8.180076979,7.54738533,8.021634251,7.626822815,8.240516572,8.219000914,7.828307224,8.352713754,8.185632515,7.690823509,8.300575729,8.386606112,8.198112659,8.425248007,8.05604438,8.087023446,8.027170257,8.078264078,8.206759508,7.821725744,8.685915684,7.457004857,8.07434855,7.642342426,7.874285981,8.018208913,7.952243945,7.795274434,8.180678046,7.532205551,8.092779972,7.75558072,8.233545512,7.315388126,7.899449041,8.077548252,8.139435701,8.086972871,8.186926091,8.148189176,8.235671405,7.977662321,8.623614883,8.43469552,7.756593332,7.719113276,8.007957967,8.091261233,7.773822383,8.273928836,7.864135254,7.946822436,7.717441263,7.880694686,7.954084642,8.134421371,8.236842342,8.238715787,7.636689233,8.0200865,7.725099209,7.60515194,8.136434778,8.133260762,7.928375323,8.109873577,8.462932774,7.674801341,8.173989198,7.47097786,8.06803773,7.521122559,7.816108028,7.967819615,7.839587352,8.279658631,8.204635735,7.99174933,7.85697479,8.085138567,7.952849756,7.672973836,8.232749336,7.956067819,8.010076673,7.84914061,7.972631394,8.102593309,8.154005909,8.351400286,8.424235028,8.192752489,7.820410062,7.997808998,8.388821954,8.488851241,8.176632505,8.097218419,7.997452301,7.69180232,7.618203507,8.189380362,8.078954467,8.178984684,8.346808316,8.042829726,8.732054699,8.031248253,8.114642653,7.726728862,8.113760491,8.467267581,8.284576826,7.883466037,8.336825516,8.091479333,7.930800928,7.761803701,7.882261367,8.241051883,7.57304306,8.072241095,8.201694943,7.891010341,8.248140077,8.433622844,7.739114227,7.947877559,8.054675905,8.149558978,7.67181365,7.876663182,7.892912106,8.016162765,7.926170863,8.455430675,8.192910289,7.567660783,8.099491451
"317",7.668467914,7.684617735,7.965769906,7.598046915,8.002833125,8.114558243,7.946422224,7.671305195,8.118790035,7.847552984,7.875630415,7.564647929,8.11659959,8.21346891,8.225404642,8.0684982,7.964924474,8.158726949,7.838327856,8.055728621,7.307237822,7.784914685,7.506581,8.011122592,8.131420872,7.636798624,8.141373245,7.906505216,8.233343944,8.091966606,8.430719561,7.814795322,7.969496783,7.813418824,8.09346461,8.058589561,8.03519054,8.1468227,7.99097753,7.680472984,7.73545326,7.902173905,7.862534496,8.376027279,8.113209657,7.619168539,7.428374779,7.894120153,8.118588373,7.798283443,8.277363255,8.327713876,8.034097517,7.722404026,7.995318764,8.179708731,7.83001028,7.982620383,7.794113985,8.405974224,7.627964312,7.676162399,8.137461859,7.901863666,8.344497299,8.212349407,7.667681076,7.284870682,7.952791734,7.543918096,7.925902627,7.805165144,7.750527614,7.961561167,7.771439015,7.775876667,7.826069957,7.763287071,7.758758342,8.18717925,7.608025335,7.864949895,8.417885157,7.908059176,8.085610675,7.964014026,7.756780593,7.890391497,7.929334265,7.637237703,7.933895935,8.035558188,7.479925963,7.933487539,8.016878917,7.7098466,7.92209238,7.715090412,7.933330086,7.818032349,7.987596688,7.565385603,8.058814034,7.895575046,7.824512195,7.967649914,7.933787312,8.179668765,7.784696987,7.68048659,7.320614302,7.421683562,8.015446056,7.904123691,7.465185091,7.916886552,8.50084324,7.456217494,7.649789634,7.707067513,8.356423972,8.026352758,8.228478564,7.959475025,8.216623666,7.989026855,7.747248039,7.728928348,7.783635871,7.593979656,7.779824058,7.832063029,7.461129758,8.085858964,8.349830511,7.93701624,7.807760855,7.550979027,7.663940753
"2776",6.823643673,6.498884081,6.987233787,6.217502986,6.837603385,6.761431344,7.08814433,6.730537946,7.055451503,6.697221908,6.508807709,6.400058362,6.511566499,6.87288079,6.791457769,7.065363941,6.455177318,6.770719376,6.796936557,7.030131542,6.60716931,6.550231527,6.580045815,6.706277258,6.866524072,6.696071064,6.988961761,6.76317588,6.869495715,6.806171086,7.117929976,6.897083487,6.621867035,6.5703359,6.915888158,6.750870661,6.873780664,6.938997139,7.02857267,6.293653742,6.639208712,6.501183808,6.774596378,6.858182558,6.905356327,6.538490089,6.826425504,6.932210672,6.670852705,6.888309592,6.903846291,6.989401642,6.865034114,6.621358219,6.836741667,6.911644338,6.921649241,6.886370651,6.774732412,6.983234928,6.304038062,6.433405081,7.077662984,6.552629625,6.768008855,6.414118445,6.383798735,6.604579781,6.918258349,6.362718844,6.663217428,6.488023807,6.382670958,6.644128948,6.941744894,6.564022398,6.598134553,6.657569622,6.615623573,6.822696417,6.961471022,6.756916766,7.004118788,6.746161425,6.917401446,6.806657574,7.180835166,6.337112426,6.302372637,6.618312559,6.970162581,6.765105406,6.414933075,6.814358407,6.912564993,6.526465807,6.710472157,6.599811786,6.508902675,6.835698476,6.907407485,6.453958261,7.173030411,6.654684283,6.711196363,6.92013799,6.420948245,6.852120303,6.540192888,6.46040119,6.343450857,6.35168605,6.618847032,6.802741148,6.55165457,6.810214079,6.961120296,6.523829609,6.705418673,6.50470203,6.961779767,6.841739377,6.972812724,6.78887107,6.554378273,6.862470515,6.523683158,6.916095404,6.745154997,6.591357187,6.832355833,7.064084594,6.371366813,6.815092042,6.700750955,6.549344354,6.273276385,6.453494051,6.94637672
